cod_departamento,departamento,anio,biologico,cobertura_vacunacion,estado_indicador,rango_bajo_inicio,rango_bajo_fin,rango_medio_inicio,rango_medio_fin,rango_adecuado_inicio,rango_adecuado_fin,cobertura_original,cobertura_porcentaje,nivel_cobertura
5,Antioquia,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8871,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8871,88.71,Media
8,Atlántico,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9386,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9386,93.86,Adecuada
11,Bogotá  D.C.,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9466,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9466,94.66,Adecuada
13,Bolívar,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8185,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8185,81.85,Media
15,Boyacá,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9293,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9293,92.93,Adecuada
17,Caldas,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9275,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9275,92.75,Adecuada
18,Caquetá,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8597,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8597,85.97,Media
19,Cauca,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.893,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.893,89.3,Media
20,Cesar,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8789,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8789,87.89,Media
23,Córdoba,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8552,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8552,85.52,Media
25,Cundinamarca,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9538,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9538,95.38,Alta
27,Chocó,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.6418,IndicatorState1,0,49.99,80,89.99,90,94.99,0.6418,64.18,Baja
41,Huila,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.9444,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9444,94.44,Adecuada
44,La Guajira,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8321,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8321,83.21,Media
47,Magdalena,2019,TV.R - Sarampión-Rubéola-Paperas (TV) 5 Años Refuerzo,0.8341,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8341,83.41,Media
